id,institution,course_code,course_name,level,date,U,3,4,5
1,IMT,TBME11,Anatomy and Physiology,G1,2013-10-29,2,15,15,10
2,IMT,TBME11,Anatomy and Physiology,G1,2015-01-08,2,4,0,0
3,IMT,TBME11,Anatomy and Physiology,G1,2013-08-26,4,4,0,0
4,IMT,TBME11,Anatomy and Physiology,G1,2016-01-05,5,4,2,0
5,IMT,TBME11,Anatomy and Physiology,G1,2012-01-11,0,1,0,0
6,IMT,TBME11,Anatomy and Physiology,G1,2016-10-25,1,12,15,7
7,IMT,TBME11,Anatomy and Physiology,G1,2014-10-28,11,13,5,2
8,IMT,TBME11,Anatomy and Physiology,G1,2014-01-08,3,0,1,0
9,IMT,TBME11,Anatomy and Physiology,G1,2012-10-23,15,12,7,2
10,IMT,TBME11,Anatomy and Physiology,G1,2015-10-27,19,11,8,0
11,IMT,TBME11,Anatomy and Physiology,G1,2013-01-11,6,0,0,0
12,IMT,TBME11,Anatomy and Physiology,G1,2011-10-17,4,12,12,3
13,IMT,TBME11,Anatomy and Physiology,G1,2017-08-21,1,2,0,0
14,IMT,TBME11,Anatomy and Physiology,G1,2011-10-19,0,0,1,0
15,IMT,TBME11,Anatomy and Physiology,G1,2017-10-24,8,20,9,1
16,IMT,TBME11,Anatomy and Physiology,G1,2016-08-22,5,1,1,0
17,IMT,TBME11,Anatomy and Physiology,G1,2015-08-24,3,1,0,0
18,IMT,TBMT09,Physiological Pressures and Flows,A,2011-06-10,8,9,5,0
19,IMT,TBMT09,Physiological Pressures and Flows,A,2017-08-23,2,0,0,0
20,IMT,TBMT09,Physiological Pressures and Flows,A,2015-06-11,3,4,1,0
21,IMT,TBMT09,Physiological Pressures and Flows,A,2016-06-10,2,0,0,0
22,IMT,TBMT09,Physiological Pressures and Flows,A,2017-06-09,2,1,0,0
23,IMT,TBMT09,Physiological Pressures and Flows,A,2017-03-15,3,5,6,2
24,IMT,TBMT09,Physiological Pressures and Flows,A,2010-08-27,8,0,0,0
25,IMT,TBMT09,Physiological Pressures and Flows,A,2010-06-11,3,4,1,0
26,IMT,TBMT09,Physiological Pressures and Flows,A,2014-03-22,4,10,4,0
27,IMT,TBMT09,Physiological Pressures and Flows,A,2015-03-21,8,13,7,0
28,IMT,TBMT09,Physiological Pressures and Flows,A,2012-05-22,5,5,1,1
29,IMT,TBMT09,Physiological Pressures and Flows,A,2012-08-24,6,2,1,0
30,IMT,TBMT09,Physiological Pressures and Flows,A,2009-06-12,5,2,3,1
31,IMT,TBMT09,Physiological Pressures and Flows,A,2016-03-23,2,11,8,2
32,IMT,TBMT09,Physiological Pressures and Flows,A,2016-09-01,2,1,0,0
33,IMT,TBMT09,Physiological Pressures and Flows,A,2013-06-07,4,1,0,0
34,IMT,TBMT09,Physiological Pressures and Flows,A,2012-03-10,5,4,2,0
35,IMT,TBMT09,Physiological Pressures and Flows,A,2010-03-16,15,11,4,0
36,IMT,TBMT09,Physiological Pressures and Flows,A,2014-06-12,1,0,0,0
37,IMT,TBMT09,Physiological Pressures and Flows,A,2008-03-14,5,3,4,0
38,IMT,TBMT09,Physiological Pressures and Flows,A,2013-03-16,5,6,2,0
39,IMT,TBMT09,Physiological Pressures and Flows,A,2011-03-19,17,2,1,0
40,IMT,TBMT09,Physiological Pressures and Flows,A,2009-08-25,1,1,0,0
41,IMT,TBMT09,Physiological Pressures and Flows,A,2013-04-04,0,1,0,0
42,IMT,TBMT09,Physiological Pressures and Flows,A,2014-08-27,1,0,0,0
43,IMT,TBMT09,Physiological Pressures and Flows,A,2011-08-22,5,1,0,0
44,IMT,TBMT09,Physiological Pressures and Flows,A,2009-03-16,11,6,3,1
45,IMT,TBMT09,Physiological Pressures and Flows,A,2008-06-09,1,3,0,0
46,IMT,TBMT09,Physiological Pressures and Flows,A,2013-08-28,1,0,2,0
47,IMT,TBMI26,Neural Networks and Learning Systems,A,2010-06-10,6,2,0,0
48,IMT,TBMI26,Neural Networks and Learning Systems,A,2010-03-15,12,9,6,4
49,IMT,TBMI26,Neural Networks and Learning Systems,A,2005-06-09,1,2,1,0
50,IMT,TBMI26,Neural Networks and Learning Systems,A,2011-06-09,5,1,0,1
51,IMT,TBMI26,Neural Networks and Learning Systems,A,2011-08-26,2,5,0,0
52,IMT,TBMI26,Neural Networks and Learning Systems,A,2003-08-27,0,0,0,1
53,IMT,TBMI26,Neural Networks and Learning Systems,A,2004-06-11,0,1,0,0
54,IMT,TBMI26,Neural Networks and Learning Systems,A,2003-05-09,0,3,1,1
55,IMT,TBMI26,Neural Networks and Learning Systems,A,2009-08-21,5,2,0,0
56,IMT,TBMI26,Neural Networks and Learning Systems,A,2010-08-25,2,4,0,0
57,IMT,TBMI26,Neural Networks and Learning Systems,A,2016-08-27,1,1,0,0
58,IMT,TBMI26,Neural Networks and Learning Systems,A,2009-03-14,14,14,5,8
59,IMT,TBMI26,Neural Networks and Learning Systems,A,2017-08-26,0,2,0,0
60,IMT,TBMI26,Neural Networks and Learning Systems,A,2013-08-31,2,0,0,0
61,IMT,TBMI26,Neural Networks and Learning Systems,A,2008-03-12,12,11,1,1
62,IMT,TBMI26,Neural Networks and Learning Systems,A,2007-03-26,1,13,19,7
63,IMT,TBMI26,Neural Networks and Learning Systems,A,2003-03-12,1,8,14,8
64,IMT,TBMI26,Neural Networks and Learning Systems,A,2006-06-09,2,0,1,0
65,IMT,TBMI26,Neural Networks and Learning Systems,A,2017-06-08,3,5,1,0
66,IMT,TBMI26,Neural Networks and Learning Systems,A,2015-08-29,2,1,1,0
67,IMT,TBMI26,Neural Networks and Learning Systems,A,2002-09-04,0,0,2,1
68,IMT,TBMI26,Neural Networks and Learning Systems,A,2005-08-19,1,2,3,0
69,IMT,TBMI26,Neural Networks and Learning Systems,A,2005-03-15,10,21,6,2
70,IMT,TBMI26,Neural Networks and Learning Systems,A,2002-03-13,0,4,7,6
71,IMT,TBMI26,Neural Networks and Learning Systems,A,2012-08-23,3,3,1,1
72,IMT,TBMI26,Neural Networks and Learning Systems,A,2004-04-22,4,3,1,0
73,IMT,TBMI26,Neural Networks and Learning Systems,A,2016-06-09,1,8,7,1
74,IMT,TBMI26,Neural Networks and Learning Systems,A,2008-08-21,3,1,0,1
75,IMT,TBMI26,Neural Networks and Learning Systems,A,2014-06-11,3,7,1,1
76,IMT,TBMI26,Neural Networks and Learning Systems,A,2004-03-10,13,5,5,4
77,IMT,TBMI26,Neural Networks and Learning Systems,A,2015-06-10,1,2,4,1
78,IMT,TBMI26,Neural Networks and Learning Systems,A,2006-01-18,0,1,0,0
79,IMT,TBMI26,Neural Networks and Learning Systems,A,2007-08-21,0,2,0,0
80,IMT,TBMI26,Neural Networks and Learning Systems,A,2004-08-20,0,1,1,0
81,IMT,TBMI26,Neural Networks and Learning Systems,A,2016-03-21,17,20,6,2
82,IMT,TBMI26,Neural Networks and Learning Systems,A,2012-05-24,4,2,0,0
83,IMT,TBMI26,Neural Networks and Learning Systems,A,2013-06-05,4,2,1,0
84,IMT,TBMI26,Neural Networks and Learning Systems,A,2008-06-04,3,3,2,0
85,IMT,TBMI26,Neural Networks and Learning Systems,A,2015-03-19,7,23,15,7
86,IMT,TBMI26,Neural Networks and Learning Systems,A,2006-03-15,4,5,11,2
87,IMT,TBMI26,Neural Networks and Learning Systems,A,2011-03-17,9,10,6,4
88,IMT,TBMI26,Neural Networks and Learning Systems,A,2014-08-30,0,0,2,0
89,IMT,TBMI26,Neural Networks and Learning Systems,A,2006-08-18,1,2,1,0
90,IMT,TBMI26,Neural Networks and Learning Systems,A,2012-03-08,6,13,20,9
91,IMT,TBMI26,Neural Networks and Learning Systems,A,2002-04-16,0,1,2,0
92,IMT,TBMI26,Neural Networks and Learning Systems,A,2009-06-11,5,2,0,0
93,IMT,TBMI26,Neural Networks and Learning Systems,A,2014-03-20,12,19,15,9
94,IMT,TBMI26,Neural Networks and Learning Systems,A,2017-03-13,13,26,15,9
95,IMT,TBMI26,Neural Networks and Learning Systems,A,2013-03-14,10,11,17,3
96,IMT,TBMT01,Biomedical Signal Processing,A,2010-06-16,0,2,3,0
97,IMT,TBMT01,Biomedical Signal Processing,A,2011-11-09,1,1,0,0
98,IMT,TBMT01,Biomedical Signal Processing,A,2002-08-29,0,1,0,0
99,IMT,TBMT01,Biomedical Signal Processing,A,2005-12-12,0,3,0,0
100,IMT,TBMT01,Biomedical Signal Processing,A,2007-10-19,8,3,1,2
101,IMT,TBMT01,Biomedical Signal Processing,A,2011-08-26,2,1,0,0
102,IMT,TBMT01,Biomedical Signal Processing,A,2011-04-29,5,4,3,0
103,IMT,TBMT01,Biomedical Signal Processing,A,2003-12-08,0,4,2,0
104,IMT,TBMT01,Biomedical Signal Processing,A,2010-06-18,0,1,0,0
105,IMT,TBMT01,Biomedical Signal Processing,A,2006-10-20,12,6,11,1
106,IMT,TBMT01,Biomedical Signal Processing,A,2010-01-18,9,3,3,1
107,IMT,TBMT01,Biomedical Signal Processing,A,2007-08-23,0,1,0,0
108,IMT,TBMT01,Biomedical Signal Processing,A,2011-01-14,8,2,6,3
109,IMT,TBMT01,Biomedical Signal Processing,A,2011-06-20,2,1,0,0
110,IMT,TBMT01,Biomedical Signal Processing,A,2010-02-26,1,5,0,0
111,IMT,TBMT01,Biomedical Signal Processing,A,2010-08-25,1,0,0,0
112,IMT,TBMT01,Biomedical Signal Processing,A,2007-01-17,0,0,2,0
113,IMT,TBMT01,Biomedical Signal Processing,A,2001-10-22,0,2,0,0
114,IMT,TBMT01,Biomedical Signal Processing,A,2004-11-09,8,5,8,9
115,IMT,TBMT01,Biomedical Signal Processing,A,2001-12-11,0,2,0,0
116,IMT,TBMT01,Biomedical Signal Processing,A,2005-12-22,0,1,0,0
117,IMT,TBMT01,Biomedical Signal Processing,A,2006-01-17,1,2,1,0
118,IMT,TBMT01,Biomedical Signal Processing,A,2001-10-16,4,5,5,1
119,IMT,TBMT01,Biomedical Signal Processing,A,2003-10-25,7,5,7,4
120,IMT,TBMT01,Biomedical Signal Processing,A,2010-04-16,11,2,0,0
121,IMT,TBMT01,Biomedical Signal Processing,A,2005-01-14,0,1,0,0
122,IMT,TBMT01,Biomedical Signal Processing,A,2002-01-18,0,3,0,0
123,IMT,TBMT01,Biomedical Signal Processing,A,2009-04-17,3,1,2,0
124,IMT,TBMT01,Biomedical Signal Processing,A,2012-02-29,0,3,0,0
125,IMT,TBMT01,Biomedical Signal Processing,A,2013-04-19,0,1,0,0
126,IMT,TBMT01,Biomedical Signal Processing,A,2002-10-28,9,8,6,3
127,IMT,TBMT01,Biomedical Signal Processing,A,2004-11-16,0,1,0,0
128,IMT,TBMT01,Biomedical Signal Processing,A,2016-08-29,0,1,0,0
129,IMT,TBMT01,Biomedical Signal Processing,A,2004-12-21,0,1,0,0
130,IMT,TBMT01,Biomedical Signal Processing,A,2007-12-07,0,2,1,0
131,IMT,TBMT01,Biomedical Signal Processing,A,2013-03-27,0,0,0,1
132,IMT,TBMT01,Biomedical Signal Processing,A,2004-12-09,0,2,4,0
133,IMT,TBMT01,Biomedical Signal Processing,A,2012-04-13,0,0,1,0
134,IMT,TBMT01,Biomedical Signal Processing,A,2012-01-13,4,2,5,1
135,IMT,TBMT01,Biomedical Signal Processing,A,2012-08-24,1,2,1,1
136,IMT,TBMT01,Biomedical Signal Processing,A,2008-08-22,0,1,1,0
137,IMT,TBMT01,Biomedical Signal Processing,A,2011-03-20,1,1,0,0
138,IMT,TBMT01,Biomedical Signal Processing,A,2011-04-20,0,1,0,0
139,IMT,TBMT01,Biomedical Signal Processing,A,2005-01-31,0,1,1,0
140,IMT,TBMT01,Biomedical Signal Processing,A,2015-01-12,1,0,0,0
141,IMT,TBMT01,Biomedical Signal Processing,A,2003-01-18,1,11,1,0
142,IMT,TBMT01,Biomedical Signal Processing,A,2004-01-16,0,3,0,1
143,IMT,TBMT01,Biomedical Signal Processing,A,2006-11-20,0,5,1,0
144,IMT,TBMT01,Biomedical Signal Processing,A,2013-01-11,8,2,4,1
145,IMT,TBMT01,Biomedical Signal Processing,A,2006-09-11,1,0,0,0
146,IMT,TBMT01,Biomedical Signal Processing,A,2009-01-16,3,3,6,1
147,IMT,TBMT01,Biomedical Signal Processing,A,2013-03-08,0,2,2,0
148,IMT,TBMT01,Biomedical Signal Processing,A,2008-01-15,1,7,3,0
149,IMT,TBMT01,Biomedical Signal Processing,A,2005-11-11,4,4,3,6
150,IMT,TBMT01,Biomedical Signal Processing,A,2013-05-10,0,1,0,0
151,IMT,TBMT01,Biomedical Signal Processing,A,2015-03-03,0,1,0,0
152,IMT,TBME08,Biomedical Modeling and Simulation,A,2017-06-03,0,2,6,3
153,IMT,TBME08,Biomedical Modeling and Simulation,A,2015-06-02,5,6,10,2
154,IMT,TBME08,Biomedical Modeling and Simulation,A,2015-10-20,1,4,0,0
155,IMT,TBME08,Biomedical Modeling and Simulation,A,2011-08-16,3,7,0,0
156,IMT,TBME08,Biomedical Modeling and Simulation,A,2014-08-19,1,1,0,0
157,IMT,TBME08,Biomedical Modeling and Simulation,A,2012-01-11,1,0,0,0
158,IMT,TBME08,Biomedical Modeling and Simulation,A,2011-01-10,1,3,1,0
159,IMT,TBME08,Biomedical Modeling and Simulation,A,2012-06-02,4,1,4,4
160,IMT,TBME08,Biomedical Modeling and Simulation,A,2010-05-27,10,8,7,2
161,IMT,TBME08,Biomedical Modeling and Simulation,A,2016-06-01,2,6,9,3
162,IMT,TBME08,Biomedical Modeling and Simulation,A,2011-05-28,9,5,6,2
163,IMT,TBME08,Biomedical Modeling and Simulation,A,2009-08-13,3,0,0,0
164,IMT,TBME08,Biomedical Modeling and Simulation,A,2014-10-21,1,0,0,0
165,IMT,TBME08,Biomedical Modeling and Simulation,A,2009-05-29,3,7,2,3
166,IMT,TBME08,Biomedical Modeling and Simulation,A,2008-06-11,2,5,6,2
167,IMT,TBME08,Biomedical Modeling and Simulation,A,2010-01-09,3,0,0,0
168,IMT,TBME08,Biomedical Modeling and Simulation,A,2013-01-12,1,0,0,0
169,IMT,TBME08,Biomedical Modeling and Simulation,A,2014-06-02,1,6,7,0
170,IMT,TBME08,Biomedical Modeling and Simulation,A,2015-08-18,4,1,0,0
171,IMT,TBME08,Biomedical Modeling and Simulation,A,2012-08-14,1,2,0,0
172,IMT,TBME08,Biomedical Modeling and Simulation,A,2013-05-29,1,2,3,2
173,IMT,TBME08,Biomedical Modeling and Simulation,A,2008-08-12,0,2,0,0
174,IMT,TBME08,Biomedical Modeling and Simulation,A,2010-08-17,9,0,0,0
175,IMT,TBME08,Biomedical Modeling and Simulation,A,2013-09-09,0,1,0,0
176,IMT,TBME08,Biomedical Modeling and Simulation,A,2016-08-16,0,1,0,0
177,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2006-06-01,0,1,5,0
178,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2011-01-13,1,0,0,0
179,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2013-06-01,0,3,6,4
180,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2010-08-19,0,4,0,0
181,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2013-10-25,0,0,1,0
182,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2012-08-16,1,1,1,0
183,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2016-06-04,0,0,1,0
184,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2005-06-03,1,6,4,2
185,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2012-05-30,3,1,5,2
186,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2008-05-30,0,4,6,1
187,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2007-06-12,0,2,4,0
188,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2008-06-27,0,1,0,0
189,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2011-08-18,0,2,1,0
190,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2006-09-15,0,1,0,0
191,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2010-06-01,3,10,8,7
192,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2009-06-04,1,7,10,3
193,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2014-06-05,1,6,10,5
194,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2015-06-05,1,5,12,1
195,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2012-01-12,1,0,0,0
196,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2011-06-01,3,13,9,1
197,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2007-01-16,0,0,1,0
198,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2014-08-21,0,1,0,0
199,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2013-08-22,0,0,1,0
200,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2015-08-20,0,1,0,0
201,IMT,TBMT24,Intensive Care and Therapeutic Systems,A,2013-09-09,1,0,0,0
202,IMT,TBMT02,Medical Imaging,A,2008-04-01,1,1,1,0
203,IMT,TBMT02,Medical Imaging,A,2015-06-22,2,0,0,0
204,IMT,TBMT02,Medical Imaging,A,2005-04-20,1,0,0,0
205,IMT,TBMT02,Medical Imaging,A,2005-06-21,0,1,0,0
206,IMT,TBMT02,Medical Imaging,A,2006-12-11,4,4,8,4
207,IMT,TBMT02,Medical Imaging,A,2003-02-13,0,1,0,0
208,IMT,TBMT02,Medical Imaging,A,2010-08-24,0,1,0,0
209,IMT,TBMT02,Medical Imaging,A,2007-05-08,0,2,0,0
210,IMT,TBMT02,Medical Imaging,A,2012-03-09,4,5,7,4
211,IMT,TBMT02,Medical Imaging,A,2013-06-04,0,1,0,0
212,IMT,TBMT02,Medical Imaging,A,2002-06-17,0,1,0,0
213,IMT,TBMT02,Medical Imaging,A,2015-05-15,1,1,3,1
214,IMT,TBMT02,Medical Imaging,A,2003-03-21,0,1,0,0
215,IMT,TBMT02,Medical Imaging,A,2010-06-09,6,3,0,0
216,IMT,TBMT02,Medical Imaging,A,2007-12-20,5,3,6,3
217,IMT,TBMT02,Medical Imaging,A,2003-06-02,0,0,1,0
218,IMT,TBMT02,Medical Imaging,A,2017-03-17,6,3,4,3
219,IMT,TBMT02,Medical Imaging,A,2010-03-12,4,6,6,4
220,IMT,TBMT02,Medical Imaging,A,2012-09-10,0,1,0,0
221,IMT,TBMT02,Medical Imaging,A,2001-12-20,1,5,4,3
222,IMT,TBMT02,Medical Imaging,A,2016-05-20,0,1,0,0
223,IMT,TBMT02,Medical Imaging,A,2011-04-04,4,5,5,8
224,IMT,TBMT02,Medical Imaging,A,2002-10-21,0,1,0,0
225,IMT,TBMT02,Medical Imaging,A,2004-03-22,0,0,0,1
226,IMT,TBMT02,Medical Imaging,A,2007-01-31,0,1,0,0
227,IMT,TBMT02,Medical Imaging,A,2013-08-30,0,0,1,0
228,IMT,TBMT02,Medical Imaging,A,2005-02-16,0,1,0,0
229,IMT,TBMT02,Medical Imaging,A,2014-06-03,0,1,0,0
230,IMT,TBMT02,Medical Imaging,A,2002-03-11,0,0,2,2
231,IMT,TBMT02,Medical Imaging,A,2005-06-28,0,1,0,0
232,IMT,TBMT02,Medical Imaging,A,2003-03-06,0,1,0,0
233,IMT,TBMT02,Medical Imaging,A,2004-02-02,0,2,0,0
234,IMT,TBMT02,Medical Imaging,A,2010-04-15,0,1,2,0
235,IMT,TBMT02,Medical Imaging,A,2017-08-20,0,1,0,0
236,IMT,TBMT02,Medical Imaging,A,2013-09-26,0,1,0,0
237,IMT,TBMT02,Medical Imaging,A,2003-01-21,2,2,5,5
238,IMT,TBMT02,Medical Imaging,A,2009-06-26,0,0,1,0
239,IMT,TBMT02,Medical Imaging,A,2009-03-12,2,4,4,2
240,IMT,TBMT02,Medical Imaging,A,2013-04-03,3,3,4,5
241,IMT,TBMT02,Medical Imaging,A,2011-06-08,0,1,1,0
242,IMT,TBMT02,Medical Imaging,A,2011-05-11,0,3,0,0
243,IMT,TBMT02,Medical Imaging,A,2007-01-23,0,1,0,0
244,IMT,TBMT02,Medical Imaging,A,2016-06-07,4,0,1,1
245,IMT,TBMT02,Medical Imaging,A,2007-05-14,0,1,0,0
246,IMT,TBMT02,Medical Imaging,A,2015-04-14,3,0,3,1
247,IMT,TBMT02,Medical Imaging,A,2001-12-18,0,1,0,0
248,IMT,TBMT02,Medical Imaging,A,2015-04-13,6,4,6,9
249,IMT,TBMT02,Medical Imaging,A,2006-05-10,1,2,2,0
250,IMT,TBMT02,Medical Imaging,A,2016-04-11,4,3,2,5
251,IMT,TBMT02,Medical Imaging,A,2004-12-16,5,6,8,4
252,IMT,TBMT02,Medical Imaging,A,2014-03-29,5,1,1,5
253,IMT,TBMT02,Medical Imaging,A,2016-04-22,8,5,1,0
254,IMT,TBMT02,Medical Imaging,A,2007-01-30,0,1,0,0
255,IMT,TBMT02,Medical Imaging,A,2003-04-01,0,0,1,0
256,IMT,TBMT02,Medical Imaging,A,2003-02-21,0,0,1,0
257,IMT,TBMT02,Medical Imaging,A,2002-09-04,0,0,0,1
258,IMT,TBMT02,Medical Imaging,A,2004-04-01,0,1,0,0
259,IMT,TBMT02,Medical Imaging,A,2009-04-20,0,1,2,0
260,IMT,TBMT02,Medical Imaging,A,2003-02-10,0,2,1,0
261,IMT,TBMT02,Medical Imaging,A,2008-09-24,0,1,0,0
262,IMT,TBMT02,Medical Imaging,A,2004-06-15,0,1,0,0
263,IMT,TBMT02,Medical Imaging,A,2006-01-23,1,0,0,1
264,IMT,TBMT02,Medical Imaging,A,2016-09-20,0,1,0,0
265,IMT,TBMT02,Medical Imaging,A,2003-12-19,4,3,4,5
266,IMT,TBMT02,Medical Imaging,A,2003-01-22,0,1,0,0
267,IMT,TBMT02,Medical Imaging,A,2012-06-07,0,1,0,0
268,IMT,TBMT02,Medical Imaging,A,2004-06-02,2,0,0,0
269,IMT,TBMT02,Medical Imaging,A,2008-06-23,0,1,0,0
270,IMT,TBMT02,Medical Imaging,A,2003-08-29,0,1,0,0
271,IMT,TBMT02,Medical Imaging,A,2008-11-28,0,1,0,0
272,IMT,TBMT02,Medical Imaging,A,2005-12-21,5,7,6,2
273,IMT,TBMT36,Bio Optics,A,2017-08-23,2,0,0,0
274,IMT,TBMT36,Bio Optics,A,2007-03-30,5,7,2,0
275,IMT,TBMT36,Bio Optics,A,2015-10-30,7,12,0,0
276,IMT,TBMT36,Bio Optics,A,2016-08-24,3,0,0,0
277,IMT,TBMT36,Bio Optics,A,2010-08-27,1,0,0,0
278,IMT,TBMT36,Bio Optics,A,2012-10-26,3,1,2,0
279,IMT,TBMT36,Bio Optics,A,2012-08-25,4,0,0,0
280,IMT,TBMT36,Bio Optics,A,2016-10-28,8,5,2,0
281,IMT,TBMT36,Bio Optics,A,2011-01-13,6,1,0,0
282,IMT,TBMT36,Bio Optics,A,2012-12-11,0,1,0,0
283,IMT,TBMT36,Bio Optics,A,2009-08-18,3,0,0,0
284,IMT,TBMT36,Bio Optics,A,2004-05-26,0,1,0,0
285,IMT,TBMT36,Bio Optics,A,2006-03-11,6,8,5,0
