id,institution,course_code,course_name,level,date,U,3,4,5
1,IMT,TBME04,Anatomy and Physiology,G2,2017-10-24,3,4,6,0
2,IMT,TBME04,Anatomy and Physiology,G2,2014-10-28,7,8,5,1
3,IMT,TBME04,Anatomy and Physiology,G2,2011-10-19,10,16,18,3
4,IMT,TBME04,Anatomy and Physiology,G2,2009-08-20,1,0,1,1
5,IMT,TBME04,Anatomy and Physiology,G2,2013-01-11,9,1,2,0
6,IMT,TBME04,Anatomy and Physiology,G2,2015-01-08,7,4,0,0
7,IMT,TBME04,Anatomy and Physiology,G2,2017-01-04,1,2,0,0
8,IMT,TBME04,Anatomy and Physiology,G2,2013-08-26,1,1,0,0
9,IMT,TBME04,Anatomy and Physiology,G2,2016-01-05,4,5,2,1
10,IMT,TBME04,Anatomy and Physiology,G2,2009-10-19,12,22,14,6
11,IMT,TBME04,Anatomy and Physiology,G2,2008-06-09,0,1,1,0
12,IMT,TBME04,Anatomy and Physiology,G2,2013-10-29,13,12,11,7
13,IMT,TBME04,Anatomy and Physiology,G2,2015-10-27,15,10,2,2
14,IMT,TBME04,Anatomy and Physiology,G2,2009-01-12,0,2,2,2
15,IMT,TBME04,Anatomy and Physiology,G2,2012-10-23,10,10,12,6
16,IMT,TBME04,Anatomy and Physiology,G2,2011-01-11,2,4,2,0
17,IMT,TBME04,Anatomy and Physiology,G2,2008-10-17,6,7,7,7
18,IMT,TBME04,Anatomy and Physiology,G2,2014-01-08,7,1,0,0
19,IMT,TBME04,Anatomy and Physiology,G2,2016-08-22,4,1,1,0
20,IMT,TBME04,Anatomy and Physiology,G2,2016-10-25,5,5,7,0
21,IMT,TBME04,Anatomy and Physiology,G2,2010-01-11,2,4,4,2
22,IMT,TBME04,Anatomy and Physiology,G2,2012-08-20,3,1,0,0
23,IMT,TBME04,Anatomy and Physiology,G2,2010-10-20,10,13,11,8
24,IMT,TBME04,Anatomy and Physiology,G2,2011-08-24,0,2,0,1
25,IMT,TBME04,Anatomy and Physiology,G2,2008-03-10,2,1,3,1
26,IMT,TBME04,Anatomy and Physiology,G2,2012-01-11,2,5,2,0
27,IMT,TBME04,Anatomy and Physiology,G2,2014-08-25,2,0,0,2
28,IMT,TBME04,Anatomy and Physiology,G2,2010-08-23,1,0,0,0
29,IMT,TBME04,Anatomy and Physiology,G2,2015-08-24,2,1,1,0
30,IMT,TBME04,Anatomy and Physiology,G2,2017-08-21,0,3,0,0
